"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","y"
"27917",36,"unemployed","married","university.degree","unknown","unknown","unknown","cellular","mar","fri",2,999,1,"failure",-1.8,92.843,-50,"yes"
"28545",25,"student","single","high.school","no","yes","yes","cellular","apr","wed",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"40297",51,"admin.","married","university.degree","no","no","no","cellular","jul","thu",4,999,1,"failure",-1.7,94.215,-40.3,"yes"
"11071",28,"blue-collar","married","basic.6y","no","no","no","telephone","jun","wed",5,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"17457",40,"admin.","divorced","high.school","no","no","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"35820",58,"admin.","married","university.degree","no","yes","no","cellular","may","mon",3,999,1,"failure",-1.8,92.893,-46.2,"yes"
"37789",63,"housemaid","married","basic.4y","no","no","no","cellular","aug","tue",1,999,1,"failure",-2.9,92.201,-31.4,"yes"
"38890",35,"management","married","university.degree","no","yes","no","cellular","nov","tue",1,999,2,"failure",-3.4,92.649,-30.1,"yes"
"28084",32,"blue-collar","married","basic.9y","no","yes","yes","cellular","apr","fri",2,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"38313",40,"services","married","professional.course","no","yes","no","cellular","oct","thu",1,3,1,"success",-3.4,92.431,-26.9,"yes"
"7572",29,"technician","married","professional.course","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"36361",41,"entrepreneur","married","high.school","no","yes","no","cellular","jun","tue",1,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"27864",60,"management","single","university.degree","no","yes","yes","cellular","mar","wed",1,999,0,"nonexistent",-1.8,92.843,-50,"yes"
"35730",29,"admin.","married","high.school","no","yes","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"39225",55,"unemployed","divorced","university.degree","no","no","no","cellular","mar","tue",3,6,3,"success",-1.8,93.369,-34.8,"yes"
"17921",57,"admin.","divorced","university.degree","unknown","yes","yes","cellular","jul","tue",6,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"27984",49,"admin.","married","basic.6y","no","yes","no","cellular","apr","wed",2,999,1,"failure",-1.8,93.075,-47.1,"yes"
"36828",29,"admin.","married","high.school","no","no","no","cellular","jun","mon",1,999,1,"failure",-2.9,92.963,-40.8,"yes"
"37969",45,"housemaid","single","basic.4y","no","no","no","telephone","sep","mon",4,999,0,"nonexistent",-3.4,92.379,-29.8,"yes"
"40227",24,"services","single","high.school","no","yes","no","cellular","jul","thu",1,11,2,"success",-1.7,94.215,-40.3,"yes"
"40481",52,"management","married","university.degree","no","yes","no","cellular","aug","thu",3,1,3,"success",-1.7,94.027,-38.3,"yes"
"32731",29,"blue-collar","married","basic.9y","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"31014",37,"blue-collar","married","basic.6y","no","no","no","cellular","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"29524",26,"admin.","single","high.school","no","yes","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"27897",33,"admin.","married","university.degree","no","yes","no","cellular","mar","wed",8,999,0,"nonexistent",-1.8,92.843,-50,"yes"
"13277",31,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"24503",35,"blue-collar","married","high.school","no","no","no","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"23389",54,"housemaid","married","basic.4y","unknown","yes","no","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"37970",59,"admin.","married","unknown","no","yes","yes","cellular","sep","mon",3,3,1,"success",-3.4,92.379,-29.8,"yes"
"38034",76,"retired","married","basic.4y","no","yes","no","cellular","sep","wed",2,3,1,"success",-3.4,92.379,-29.8,"yes"
"14598",50,"admin.","married","professional.course","no","no","no","cellular","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"31868",27,"technician","married","professional.course","no","no","no","cellular","may","thu",2,999,1,"failure",-1.8,92.893,-46.2,"yes"
"35885",31,"services","single","high.school","no","no","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"31181",39,"technician","divorced","professional.course","no","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"28408",30,"self-employed","single","university.degree","no","no","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"40037",41,"admin.","divorced","university.degree","no","no","no","cellular","jul","mon",2,999,0,"nonexistent",-1.7,94.215,-40.3,"yes"
"2258",39,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","tue",4,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"40436",35,"unemployed","married","high.school","no","yes","no","cellular","aug","mon",1,6,1,"success",-1.7,94.027,-38.3,"yes"
"9573",26,"student","single","high.school","no","no","no","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"31247",57,"management","married","university.degree","no","no","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"41015",31,"technician","single","professional.course","no","unknown","unknown","cellular","oct","thu",2,999,0,"nonexistent",-1.1,94.601,-49.5,"yes"
"35884",28,"technician","single","professional.course","no","no","no","cellular","may","fri",1,3,1,"success",-1.8,92.893,-46.2,"yes"
"29611",26,"blue-collar","single","basic.9y","no","no","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"34360",55,"services","single","basic.9y","no","unknown","unknown","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"40449",58,"management","married","university.degree","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",-1.7,94.027,-38.3,"yes"
"15763",44,"admin.","single","basic.9y","no","yes","yes","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"40799",42,"admin.","single","high.school","no","no","no","cellular","sep","thu",1,999,0,"nonexistent",-1.1,94.199,-37.5,"yes"
"30338",41,"technician","divorced","professional.course","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"39289",48,"unemployed","married","university.degree","no","yes","no","cellular","mar","tue",1,999,2,"failure",-1.8,93.369,-34.8,"yes"
"39093",41,"admin.","married","university.degree","no","yes","no","cellular","dec","thu",1,999,0,"nonexistent",-3,92.713,-33,"yes"
"40159",30,"admin.","single","university.degree","no","no","no","cellular","jul","thu",1,6,2,"success",-1.7,94.215,-40.3,"yes"
"36824",57,"unemployed","married","basic.4y","no","no","no","cellular","jun","mon",1,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"36558",29,"services","single","high.school","no","no","no","cellular","jun","wed",2,3,1,"success",-2.9,92.963,-40.8,"yes"
"8867",28,"technician","single","professional.course","no","no","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"29535",26,"admin.","single","high.school","no","no","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"32718",31,"technician","married","university.degree","no","no","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"39380",59,"admin.","divorced","university.degree","no","yes","no","cellular","mar","tue",1,999,0,"nonexistent",-1.8,93.369,-34.8,"yes"
"37221",25,"admin.","single","university.degree","no","yes","no","cellular","aug","fri",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"37363",58,"technician","married","professional.course","no","yes","no","cellular","aug","tue",2,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"30295",69,"retired","married","university.degree","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"40660",46,"services","married","university.degree","no","yes","no","cellular","sep","wed",1,999,0,"nonexistent",-1.1,94.199,-37.5,"yes"
"38021",78,"unknown","married","unknown","no","yes","no","cellular","sep","wed",1,999,1,"failure",-3.4,92.379,-29.8,"yes"
"40476",41,"admin.","married","university.degree","no","yes","no","telephone","aug","thu",1,9,3,"failure",-1.7,94.027,-38.3,"yes"
"29821",54,"management","married","university.degree","unknown","no","yes","cellular","apr","mon",3,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"41099",29,"student","single","high.school","no","yes","yes","cellular","nov","thu",1,3,3,"success",-1.1,94.767,-50.8,"yes"
"14640",34,"technician","single","professional.course","no","no","yes","cellular","jul","tue",5,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"29409",40,"services","single","high.school","no","no","no","cellular","apr","mon",2,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"37830",51,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"877",44,"blue-collar","married","basic.4y","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"35896",37,"admin.","married","university.degree","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"39786",25,"services","single","unknown","no","yes","no","cellular","jun","tue",1,13,2,"failure",-1.7,94.055,-39.8,"yes"
"37134",51,"management","married","university.degree","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"21913",30,"admin.","married","university.degree","no","no","no","telephone","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"38657",71,"retired","married","professional.course","no","yes","yes","telephone","nov","tue",1,999,0,"nonexistent",-3.4,92.649,-30.1,"yes"
"27083",34,"admin.","married","university.degree","no","no","no","cellular","nov","fri",1,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"39881",24,"student","single","high.school","no","no","no","cellular","jun","wed",6,6,1,"success",-1.7,94.055,-39.8,"yes"
"39750",43,"technician","married","professional.course","no","no","no","cellular","may","thu",1,999,1,"failure",-1.8,93.876,-40,"yes"
"6902",39,"admin.","married","university.degree","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"37386",27,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",2,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"33516",30,"student","single","university.degree","no","yes","no","cellular","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"37641",36,"admin.","single","university.degree","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"6739",54,"retired","married","basic.4y","unknown","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"37206",44,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",2,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"24102",33,"services","married","high.school","no","no","no","telephone","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"23999",42,"admin.","married","high.school","no","yes","yes","telephone","oct","fri",1,999,0,"nonexistent",-0.1,93.798,-40.4,"yes"
"38445",61,"management","married","university.degree","no","yes","no","cellular","oct","fri",2,999,1,"failure",-3.4,92.431,-26.9,"yes"
"40840",48,"unemployed","married","professional.course","no","yes","no","cellular","sep","mon",2,999,0,"nonexistent",-1.1,94.199,-37.5,"yes"
"5653",41,"services","married","high.school","unknown","yes","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"27735",28,"student","single","basic.9y","no","yes","no","cellular","mar","tue",2,999,0,"nonexistent",-1.8,92.843,-50,"yes"
"33216",50,"blue-collar","divorced","basic.4y","no","yes","no","cellular","may","tue",4,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"35940",54,"admin.","single","university.degree","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"22480",35,"technician","single","high.school","unknown","no","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"18104",40,"unemployed","divorced","university.degree","no","yes","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"40176",44,"admin.","married","unknown","no","no","no","cellular","jul","fri",1,999,1,"failure",-1.7,94.215,-40.3,"yes"
"30284",56,"entrepreneur","married","university.degree","no","no","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,"yes"
"38466",26,"admin.","single","high.school","no","no","no","telephone","oct","fri",2,4,1,"success",-3.4,92.431,-26.9,"yes"
"39756",61,"admin.","married","unknown","no","no","no","cellular","may","thu",3,9,2,"success",-1.8,93.876,-40,"yes"
"36744",43,"blue-collar","married","basic.6y","no","yes","no","cellular","jun","mon",6,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"30498",53,"admin.","divorced","university.degree","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"39019",65,"management","married","unknown","no","yes","no","telephone","dec","wed",3,999,1,"failure",-3,92.713,-33,"yes"
"33549",38,"services","divorced","basic.6y","no","yes","no","telephone","may","tue",2,10,1,"success",-1.8,92.893,-46.2,"yes"
"13505",34,"technician","single","university.degree","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"30002",53,"admin.","married","university.degree","no","yes","no","cellular","apr","tue",2,6,1,"success",-1.8,93.075,-47.1,"yes"
"17110",36,"services","single","high.school","no","yes","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"29772",34,"management","married","university.degree","no","no","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"19379",48,"blue-collar","married","unknown","no","yes","yes","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"39415",53,"management","divorced","university.degree","no","yes","no","cellular","apr","thu",2,999,0,"nonexistent",-1.8,93.749,-34.6,"yes"
"30040",61,"retired","married","basic.4y","no","yes","no","cellular","apr","wed",4,999,1,"failure",-1.8,93.075,-47.1,"yes"
"37856",62,"retired","married","professional.course","no","yes","yes","cellular","aug","fri",2,999,1,"failure",-2.9,92.201,-31.4,"yes"
"15195",29,"admin.","single","university.degree","no","no","yes","cellular","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"40605",31,"admin.","single","high.school","no","no","no","cellular","sep","fri",2,3,2,"success",-1.1,94.199,-37.5,"yes"
"39712",61,"blue-collar","married","basic.6y","no","yes","yes","cellular","may","fri",1,3,2,"success",-1.8,93.876,-40,"yes"
"16150",50,"blue-collar","married","basic.4y","no","no","yes","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"15453",45,"housemaid","divorced","basic.4y","unknown","no","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"34137",38,"blue-collar","single","basic.9y","no","no","no","cellular","may","wed",2,999,1,"failure",-1.8,92.893,-46.2,"yes"
"37263",31,"admin.","married","university.degree","no","yes","no","cellular","aug","fri",2,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"38769",43,"management","married","high.school","no","no","no","cellular","nov","thu",1,999,0,"nonexistent",-3.4,92.649,-30.1,"yes"
"37044",42,"technician","married","university.degree","no","no","no","cellular","jul","wed",1,999,1,"failure",-2.9,92.469,-33.6,"yes"
"40306",27,"services","single","high.school","no","no","no","cellular","jul","fri",5,6,2,"success",-1.7,94.215,-40.3,"yes"
"38285",28,"admin.","single","high.school","no","no","no","telephone","oct","wed",1,999,0,"nonexistent",-3.4,92.431,-26.9,"yes"
"2745",27,"admin.","single","high.school","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"40044",46,"admin.","married","high.school","no","yes","no","cellular","jul","tue",3,999,2,"failure",-1.7,94.215,-40.3,"yes"
"36292",21,"student","single","high.school","no","yes","no","cellular","jun","mon",2,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"29408",19,"student","single","unknown","no","yes","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"3980",57,"technician","married","professional.course","no","yes","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"37574",42,"technician","married","professional.course","no","yes","no","cellular","aug","fri",2,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"18155",25,"services","single","basic.9y","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"39657",58,"management","married","university.degree","no","no","no","cellular","may","thu",1,3,4,"success",-1.8,93.876,-40,"yes"
"39009",30,"student","single","unknown","no","no","no","cellular","dec","wed",1,4,2,"success",-3,92.713,-33,"yes"
"37074",32,"admin.","single","university.degree","no","yes","no","cellular","jul","wed",3,999,0,"nonexistent",-2.9,92.469,-33.6,"yes"
"37273",36,"management","married","university.degree","no","no","no","telephone","aug","mon",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"30231",35,"technician","married","professional.course","no","no","no","cellular","apr","thu",2,5,1,"success",-1.8,93.075,-47.1,"yes"
"38650",47,"admin.","divorced","university.degree","no","no","no","cellular","nov","tue",4,6,1,"success",-3.4,92.649,-30.1,"yes"
"15451",32,"services","single","professional.course","no","yes","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"36009",58,"management","married","university.degree","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"24033",39,"technician","married","professional.course","no","no","no","telephone","oct","thu",1,999,0,"nonexistent",-0.1,93.798,-40.4,"yes"
"30077",50,"admin.","married","university.degree","no","yes","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"5864",24,"admin.","married","basic.9y","no","yes","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"16032",33,"blue-collar","married","basic.6y","no","no","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"7446",27,"admin.","single","high.school","unknown","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"39228",64,"retired","married","university.degree","no","no","no","cellular","mar","tue",2,5,1,"success",-1.8,93.369,-34.8,"yes"
"27221",29,"technician","single","professional.course","no","no","no","cellular","nov","fri",3,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"40687",83,"retired","divorced","basic.4y","no","no","no","cellular","sep","thu",1,9,3,"success",-1.1,94.199,-37.5,"yes"
"36088",21,"student","single","high.school","no","yes","no","cellular","may","tue",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"19999",33,"technician","married","professional.course","no","no","no","cellular","aug","fri",7,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"30942",41,"blue-collar","married","basic.4y","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"38072",70,"retired","married","basic.4y","no","no","no","cellular","sep","tue",1,3,2,"success",-3.4,92.379,-29.8,"yes"
"27591",30,"admin.","single","university.degree","no","no","no","cellular","nov","fri",2,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"38573",51,"blue-collar","married","basic.9y","no","yes","no","cellular","oct","thu",2,999,0,"nonexistent",-3.4,92.431,-26.9,"yes"
"4695",54,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"39409",27,"admin.","single","university.degree","no","no","no","cellular","apr","tue",1,12,1,"success",-1.8,93.749,-34.6,"yes"
"37396",26,"student","single","basic.9y","no","no","no","telephone","aug","wed",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"22339",49,"blue-collar","married","basic.9y","unknown","yes","no","cellular","aug","thu",3,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"36662",32,"admin.","single","university.degree","no","no","no","cellular","jun","fri",1,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"27542",56,"admin.","married","university.degree","no","no","no","cellular","nov","fri",2,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"39223",34,"admin.","single","university.degree","no","yes","yes","cellular","mar","tue",1,3,2,"success",-1.8,93.369,-34.8,"yes"
"26947",34,"admin.","married","high.school","no","no","no","cellular","nov","thu",4,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"40602",57,"management","married","university.degree","no","no","no","cellular","sep","fri",2,6,2,"success",-1.1,94.199,-37.5,"yes"
"27727",35,"admin.","married","high.school","no","yes","no","cellular","mar","tue",3,999,0,"nonexistent",-1.8,92.843,-50,"yes"
"41019",26,"unemployed","single","high.school","no","yes","no","cellular","oct","fri",3,14,1,"success",-1.1,94.601,-49.5,"yes"
"27749",38,"technician","married","professional.course","no","yes","no","cellular","mar","thu",1,999,0,"nonexistent",-1.8,92.843,-50,"yes"
"39313",38,"admin.","single","university.degree","no","yes","no","cellular","mar","thu",1,999,0,"nonexistent",-1.8,93.369,-34.8,"yes"
"27989",33,"blue-collar","married","basic.6y","no","yes","no","cellular","apr","wed",2,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"40343",31,"technician","single","unknown","no","yes","no","cellular","aug","mon",2,9,3,"success",-1.7,94.027,-38.3,"yes"
"39079",31,"admin.","married","professional.course","no","no","yes","cellular","dec","mon",2,999,1,"failure",-3,92.713,-33,"yes"
"40193",56,"technician","married","professional.course","no","yes","no","cellular","jul","mon",2,13,1,"success",-1.7,94.215,-40.3,"yes"
"40678",33,"admin.","married","high.school","no","yes","no","cellular","sep","thu",1,999,0,"nonexistent",-1.1,94.199,-37.5,"yes"
"37041",40,"admin.","married","university.degree","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",-2.9,92.469,-33.6,"yes"
"27470",39,"admin.","single","unknown","no","no","no","cellular","nov","fri",2,999,1,"failure",-0.1,93.2,-42,"yes"
"33222",38,"entrepreneur","married","unknown","unknown","no","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"37333",26,"student","single","professional.course","no","yes","no","cellular","aug","tue",2,999,1,"failure",-2.9,92.201,-31.4,"yes"
"38147",56,"management","divorced","university.degree","no","no","no","cellular","sep","tue",1,999,1,"failure",-3.4,92.379,-29.8,"yes"
"41154",67,"housemaid","divorced","professional.course","no","yes","no","cellular","nov","mon",2,5,5,"success",-1.1,94.767,-50.8,"yes"
"4770",31,"blue-collar","married","basic.6y","no","no","yes","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"19001",47,"entrepreneur","married","university.degree","no","no","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"40587",60,"retired","married","university.degree","no","no","no","cellular","sep","thu",2,6,1,"success",-1.1,94.199,-37.5,"yes"
"24116",42,"admin.","married","professional.course","no","yes","no","telephone","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"37148",59,"admin.","married","high.school","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"36826",24,"blue-collar","single","unknown","no","no","yes","cellular","jun","mon",1,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"38928",57,"admin.","married","university.degree","no","no","no","cellular","nov","wed",1,3,2,"success",-3.4,92.649,-30.1,"yes"
"38418",36,"admin.","married","university.degree","no","no","no","cellular","oct","wed",1,999,0,"nonexistent",-3.4,92.431,-26.9,"yes"
"37709",34,"admin.","single","university.degree","no","yes","no","cellular","aug","thu",6,3,1,"success",-2.9,92.201,-31.4,"yes"
"28407",30,"self-employed","single","university.degree","no","yes","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,"yes"
"34203",51,"blue-collar","married","basic.4y","no","yes","no","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"8898",41,"management","married","unknown","unknown","no","yes","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"39940",69,"retired","divorced","professional.course","no","no","no","cellular","jun","fri",6,12,2,"failure",-1.7,94.055,-39.8,"yes"
"39229",26,"admin.","single","high.school","no","no","no","cellular","mar","tue",2,6,1,"success",-1.8,93.369,-34.8,"yes"
"40239",31,"student","single","university.degree","no","no","no","cellular","jul","fri",3,6,2,"success",-1.7,94.215,-40.3,"yes"
"39024",55,"admin.","married","professional.course","no","yes","no","cellular","dec","thu",1,9,2,"success",-3,92.713,-33,"yes"
"13711",31,"admin.","married","high.school","no","no","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"19951",33,"self-employed","married","basic.9y","unknown","no","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"30324",60,"admin.","married","professional.course","no","yes","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,"yes"
"30185",31,"admin.","single","high.school","no","no","no","cellular","apr","thu",1,5,1,"success",-1.8,93.075,-47.1,"yes"
"40704",71,"retired","married","high.school","no","no","no","cellular","sep","mon",1,999,0,"nonexistent",-1.1,94.199,-37.5,"yes"
"5074",35,"services","married","high.school","no","no","no","telephone","may","fri",5,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"40691",64,"retired","divorced","basic.4y","no","yes","yes","telephone","sep","fri",2,6,2,"success",-1.1,94.199,-37.5,"yes"
"40054",55,"admin.","married","high.school","no","no","no","telephone","jul","wed",1,9,1,"success",-1.7,94.215,-40.3,"yes"
"27523",41,"blue-collar","married","unknown","no","yes","no","cellular","nov","fri",4,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"39158",38,"blue-collar","single","high.school","no","yes","no","cellular","mar","wed",1,13,2,"failure",-1.8,93.369,-34.8,"yes"
"37261",76,"retired","married","university.degree","no","no","no","cellular","aug","fri",2,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"6607",33,"blue-collar","married","basic.6y","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"39388",56,"unemployed","divorced","basic.4y","no","no","no","cellular","mar","wed",1,999,0,"nonexistent",-1.8,93.369,-34.8,"yes"
"18457",35,"blue-collar","married","basic.9y","unknown","no","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"4794",36,"admin.","single","professional.course","no","yes","yes","telephone","may","wed",4,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"20925",34,"technician","single","university.degree","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"37003",56,"retired","married","high.school","no","yes","yes","cellular","jul","fri",2,999,0,"nonexistent",-2.9,92.469,-33.6,"yes"
"20372",52,"housemaid","married","basic.6y","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"19605",39,"management","married","university.degree","no","no","no","cellular","aug","thu",6,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"3260",49,"blue-collar","divorced","basic.4y","unknown","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"41174",62,"retired","married","university.degree","no","yes","no","cellular","nov","thu",1,999,2,"failure",-1.1,94.767,-50.8,"yes"
"36703",28,"student","single","high.school","no","yes","no","cellular","jun","fri",3,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"4673",45,"admin.","single","professional.course","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"7726",40,"admin.","divorced","professional.course","no","yes","no","telephone","may","fri",12,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"28273",46,"blue-collar","divorced","basic.9y","no","no","yes","cellular","apr","wed",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
